scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Limnodromus griseus	Limnodromus griseus	Short-billed dowitcher	Birds	Animals	Animalia	Virginia
Egretta thula	Egretta thula	Snowy Egret	Birds	Animals	Animalia	Virginia
Limnothlypis swainsonii	Limnothlypis swainsonii	Swainson's warbler	Birds	Animals	Animalia	Virginia
Rallus limicola	Rallus limicola	Virginia rail	Birds	Animals	Animalia	Virginia
Setophaga virens waynei	Setophaga virens waynei	Wayne's black-throated green warbler	Birds	Animals	Animalia	Virginia
Numenius phaeopus	Numenius phaeopus	Whimbrel	Birds	Animals	Animalia	Virginia
Tringa semipalmata	Tringa semipalmata	Willet	Birds	Animals	Animalia	Virginia
Charadrius wilsonia	Charadrius wilsonia	Wilson's plover	Birds	Animals	Animalia	Virginia
Hylocichla mustelina	Hylocichla mustelina	Wood thrush	Birds	Animals	Animalia	Virginia
Coccyzus americanus	Coccyzus americanus	Yellow-billed cuckoo	Birds	Animals	Animalia	Virginia
Icteria virens	Icteria virens	Yellow-breasted chat	Birds	Animals	Animalia	Virginia
Nyctanassa violacea	Nyctanassa violacea	Yellow-crowned night-heron	Birds	Animals	Animalia	Virginia
Hyla gratiosa	Hyla gratiosa	Barking treefrog	Amphibians	Animals	Animalia	Virginia
Desmognathus orestes	Desmognathus orestes	Blue Ridge dusky salamander	Amphibians	Animals	Animalia	Virginia
Eurycea wilderae	Eurycea wilderae	Blue Ridge two-lined salamander	Amphibians	Animals	Animalia	Virginia
Lithobates virgatipes	Lithobates virgatipes	Carpenter frog	Amphibians	Animals	Animalia	Virginia
Necturus maculosus maculosus	Necturus maculosus maculosus	Common mudpuppy	Amphibians	Animals	Animalia	Virginia
Plethodon punctatus	Plethodon punctatus	Cow Knob salamander	Amphibians	Animals	Animalia	Virginia
Plethodon kentucki	Plethodon kentucki	Cumberland Plateau salamander	Amphibians	Animals	Animalia	Virginia
Necturus punctatus	Necturus punctatus	Dwarf waterdog	Amphibians	Animals	Animalia	Virginia
Cryptobranchus alleganiensis alleganiensis	Cryptobranchus alleganiensis alleganiensis	Eastern hellbender	Amphibians	Animals	Animalia	Virginia
Pseudotriton montanus montanus	Pseudotriton montanus montanus	Eastern mud salamander	Amphibians	Animals	Animalia	Virginia
Scaphiopus holbrookii	Scaphiopus holbrookii	Eastern spadefoot	Amphibians	Animals	Animalia	Virginia
Ambystoma tigrinum	Ambystoma tigrinum	Eastern tiger salamander	Amphibians	Animals	Animalia	Virginia
Siren lacertina	Siren lacertina	Greater siren	Amphibians	Animals	Animalia	Virginia
Aneides aeneus	Aneides aeneus	Green salamander	Amphibians	Animals	Animalia	Virginia
Ambystoma jeffersonianum	Ambystoma jeffersonianum	Jefferson salamander	Amphibians	Animals	Animalia	Virginia
Siren intermedia intermedia	Siren intermedia intermedia	Lesser siren	Amphibians	Animals	Animalia	Virginia
Pseudacris ocularis	Pseudacris ocularis	Little grass frog	Amphibians	Animals	Animalia	Virginia
Ambystoma mabeei	Ambystoma mabeei	Mabee's salamander	Amphibians	Animals	Animalia	Virginia
Stereochilus marginatus	Stereochilus marginatus	Many-lined salamander	Amphibians	Animals	Animalia	Virginia
Ambystoma talpoideum	Ambystoma talpoideum	Mole salamander	Amphibians	Animals	Animalia	Virginia
Pseudacris brachyphona	Pseudacris brachyphona	Mountain chorus frog	Amphibians	Animals	Animalia	Virginia
Pseudacris kalmi	Pseudacris kalmi	New Jersey chorus frog	Amphibians	Animals	Animalia	Virginia
Desmognathus organi	Desmognathus organi	Northern Pygmy salamander	Amphibians	Animals	Animalia	Virginia
Anaxyrus quercicus	Anaxyrus quercicus	Oak toad	Amphibians	Animals	Animalia	Virginia
Plethodon hubrichti	Plethodon hubrichti	Peaks of Otter salamander	Amphibians	Animals	Animalia	Virginia
Plethodon virginia	Plethodon virginia	Shenandoah Mountain salamander	Amphibians	Animals	Animalia	Virginia
Plethodon shenandoah	Plethodon shenandoah	Shenandoah salamander	Amphibians	Animals	Animalia	Virginia
Desmognathus marmoratus	Desmognathus marmoratus	Shovel-nosed salamander	Amphibians	Animals	Animalia	Virginia
Pseudacris nigrita	Pseudacris nigrita	Southern chorus frog	Amphibians	Animals	Animalia	Virginia
Plethodon ventralis	Plethodon ventralis	Southern zigzag salamander	Amphibians	Animals	Animalia	Virginia
Plethodon welleri	Plethodon welleri	Weller's salamander	Amphibians	Animals	Animalia	Virginia
Plethodon yonahlossee	Plethodon yonahlossee	Yonahlossee salamander	Amphibians	Animals	Animalia	Virginia
Clemmys muhlenbergii	Clemmys muhlenbergii	Bog turtle	Reptiles	Animals	Animalia	Virginia
Crotalus horridus (canebrake)	Crotalus horridus (canebrake)	Canebrake rattlesnake	Reptiles	Animals	Animalia	Virginia
Thamnophis sauritus sauritus	Thamnophis sauritus sauritus	Common ribbonsnake	Reptiles	Animals	Animalia	Virginia
Chelydra serpentina	Chelydra serpentina	Common Snapping Turtle	Reptiles	Animals	Animalia	Virginia
Trachemys scripta troostii	Trachemys scripta troostii	Cumberland slider	Reptiles	Animals	Animalia	Virginia
Lampropeltis nigra	Lampropeltis nigra	Eastern black kingsnake	Reptiles	Animals	Animalia	Virginia
Terrapene carolina carolina	Terrapene carolina carolina	Eastern box turtle	Reptiles	Animals	Animalia	Virginia
Deirochelys reticularia reticularia	Deirochelys reticularia reticularia	Eastern chicken turtle	Reptiles	Animals	Animalia	Virginia
Ophisaurus ventralis	Ophisaurus ventralis	Eastern glass lizard	Reptiles	Animals	Animalia	Virginia
Heterodon platirhinos	Heterodon platirhinos	Eastern hog-nosed snake	Reptiles	Animals	Animalia	Virginia
Ophisaurus attenuatus longicaudus	Ophisaurus attenuatus longicaudus	Eastern slender glass lizard	Reptiles	Animals	Animalia	Virginia
Regina rigida rigida	Regina rigida rigida	Glossy crayfish snake	Reptiles	Animals	Animalia	Virginia
Chelonia mydas	Chelonia mydas	Green Sea Turtle	Reptiles	Animals	Animalia	Virginia
Lepidochelys kempii	Lepidochelys kempii	Kemp's ridley sea turtle	Reptiles	Animals	Animalia	Virginia
Dermochelys coriacea	Dermochelys coriacea	Leatherback Sea Turtle	Reptiles	Animals	Animalia	Virginia
Caretta caretta	Caretta caretta	Loggerhead sea turtle	Reptiles	Animals	Animalia	Virginia
Virginia valeriae pulchra	Virginia valeriae pulchra	Mountain earthsnake	Reptiles	Animals	Animalia	Virginia
Farancia abacura abacura	Farancia abacura abacura	Mudsnake	Reptiles	Animals	Animalia	Virginia
Malaclemys terrapin terrapin	Malaclemys terrapin terrapin	Northern diamondback terrapin	Reptiles	Animals	Animalia	Virginia
Graptemys geographica	Graptemys geographica	Northern map turtle	Reptiles	Animals	Animalia	Virginia
Pituophis melanoleucus melanoleucus	Pituophis melanoleucus melanoleucus	Northern pinesnake	Reptiles	Animals	Animalia	Virginia
Regina septemvittata	Regina septemvittata	Queen snake	Reptiles	Animals	Animalia	Virginia
Farancia erytrogramma erytrogramma	Farancia erytrogramma erytrogramma	Rainbow snake	Reptiles	Animals	Animalia	Virginia
Lampropeltis elapsoides	Lampropeltis elapsoides	Scarlet kingsnake	Reptiles	Animals	Animalia	Virginia
Cemophora coccinea copei	Cemophora coccinea copei	Scarletsnake	Reptiles	Animals	Animalia	Virginia
Opheodrys vernalis	Opheodrys vernalis	Smooth greensnake	Reptiles	Animals	Animalia	Virginia
Tantilla coronata	Tantilla coronata	Southeastern crowned snake	Reptiles	Animals	Animalia	Virginia
Apalone spinifera spinifera	Apalone spinifera spinifera	Spiny softshell	Reptiles	Animals	Animalia	Virginia
Clemmys guttata	Clemmys guttata	Spotted turtle	Reptiles	Animals	Animalia	Virginia
Sternotherus minor peltifer	Sternotherus minor peltifer	Stripe-necked musk turtle	Reptiles	Animals	Animalia	Virginia
Crotalus horridus (timber)	Crotalus horridus (timber)	Timber rattlesnake	Reptiles	Animals	Animalia	Virginia
Glyptemys insculpta	Glyptemys insculpta	Wood turtle	Reptiles	Animals	Animalia	Virginia
Trachemys scripta scripta	Trachemys scripta scripta	Yellow-bellied slider	Reptiles	Animals	Animalia	Virginia
Etheostoma cinereum	Etheostoma cinereum	Ashy darter	Fish	Animals	Animalia	Virginia
Acipenser oxyrinchus	Acipenser oxyrinchus	Atlantic sturgeon	Fish	Animals	Animalia	Virginia
Enneacanthus chaetodon	Enneacanthus chaetodon	Blackbanded sunfish	Fish	Animals	Animalia	Virginia
Notropis bifrenatus	Notropis bifrenatus	Bridle shiner	Fish	Animals	Animalia	Virginia
Etheostoma osburni	Etheostoma osburni	Candy darter	Fish	Animals	Animalia	Virginia
Chrosomus sp. cf. saylori	Chrosomus sp. cf. saylori	Clinch dace	Fish	Animals	Animalia	Virginia
Etheostoma percnurum	Etheostoma percnurum	Duskytail darter	Fish	Animals	Animalia	Virginia
Etheostoma chlorobranchium	Etheostoma chlorobranchium	Greenfin darter	Fish	Animals	Animalia	Virginia
Ambloplites cavifrons	Ambloplites cavifrons	Roanoke bass	Fish	Animals	Animalia	Virginia
Notropis semperasper	Notropis semperasper	Roughhead shiner	Fish	Animals	Animalia	Virginia
Etheostoma acuticeps	Etheostoma acuticeps	Sharphead darter	Fish	Animals	Animalia	Virginia
Acipenser brevirostrum	Acipenser brevirostrum	Shortnose sturgeon	Fish	Animals	Animalia	Virginia
Percina williamsi	Percina williamsi	Sickle Darter	Fish	Animals	Animalia	Virginia
Erimystax cahni	Erimystax cahni	Slender chub	Fish	Animals	Animalia	Virginia
Erimonax monachus	Erimonax monachus	Spotfin chub	Fish	Animals	Animalia	Virginia
Chrosomus tennesseensis	Chrosomus tennesseensis	Tennessee dace	Fish	Animals	Animalia	Virginia
Etheostoma variatum	Etheostoma variatum	Variegate darter	Fish	Animals	Animalia	Virginia
Noturus flavipinnis	Noturus flavipinnis	Yellowfin madtom	Fish	Animals	Animalia	Virginia
Percina burtoni	Percina burtoni	Blotchside logperch	Fish	Animals	Animalia	Virginia
Etheostoma collis	Etheostoma collis	Carolina darter	Fish	Animals	Animalia	Virginia
Phenacobius crassilabrum	Phenacobius crassilabrum	Fatlips minnow	Fish	Animals	Animalia	Virginia
Etheostoma denoncourti	Etheostoma denoncourti	Golden Darter	Fish	Animals	Animalia	Virginia
Noturus gilberti	Noturus gilberti	Orangefin madtom	Fish	Animals	Animalia	Virginia
Notropis ariommus	Notropis ariommus	Popeye shiner	Fish	Animals	Animalia	Virginia
Percina rex	Percina rex	Roanoke logperch	Fish	Animals	Animalia	Virginia
Notropis alborus	Notropis alborus	Whitemouth shiner	Fish	Animals	Animalia	Virginia
Anguilla rostrata	Anguilla rostrata	American eel	Fish	Animals	Animalia	Virginia
Moxostoma ariommum	Moxostoma ariommum	Bigeye jumprock	Fish	Animals	Animalia	Virginia
Cottus sp. 1	Cottus sp. 1	Bluestone sculpin	Fish	Animals	Animalia	Virginia
Percina copelandi	Percina copelandi	Channel darter	Fish	Animals	Animalia	Virginia
Cottus sp. 4	Cottus sp. 4	Clinch sculpin	Fish	Animals	Animalia	Virginia
Aplodinotus grunniens	Aplodinotus grunniens	Freshwater drum	Fish	Animals	Animalia	Virginia
Cottus sp. 5	Cottus sp. 5	Holston sculpin	Fish	Animals	Animalia	Virginia
Notropis chalybaeus	Notropis chalybaeus	Ironcolor shiner	Fish	Animals	Animalia	Virginia
Etheostoma kanawhae	Etheostoma kanawhae	Kanawha darter	Fish	Animals	Animalia	Virginia
Phenacobius teretulus	Phenacobius teretulus	Kanawha minnow	Fish	Animals	Animalia	Virginia
Notropis spectrunculus	Notropis spectrunculus	Mirror shiner	Fish	Animals	Animalia	Virginia
Ichthyomyzon greeleyi	Ichthyomyzon greeleyi	Mountain brook lamprey	Fish	Animals	Animalia	Virginia
Moxostoma carinatum	Moxostoma carinatum	River redhorse	Fish	Animals	Animalia	Virginia
Thoburnia hamiltoni	Thoburnia hamiltoni	Rustyside sucker	Fish	Animals	Animalia	Virginia
Sander canadensis	Sander canadensis	Sauger	Fish	Animals	Animalia	Virginia
Moxostoma anisurum	Moxostoma anisurum	Silver redhorse	Fish	Animals	Animalia	Virginia
Ameiurus brunneus	Ameiurus brunneus	Snail bullhead	Fish	Animals	Animalia	Virginia
Cyprinella whipplei	Cyprinella whipplei	Steelcolor shiner	Fish	Animals	Animalia	Virginia
Etheostoma vulneratum	Etheostoma vulneratum	Wounded darter	Fish	Animals	Animalia	Virginia
Alosa pseudoharengus	Alosa pseudoharengus	Alewife	Fish	Animals	Animalia	Virginia
Margariscus margarita	Margariscus margarita	Allegheny pearl dace	Fish	Animals	Animalia	Virginia
Lampetra appendix	Lampetra appendix	American brook lamprey	Fish	Animals	Animalia	Virginia
Alosa sapidissima	Alosa sapidissima	American shad	Fish	Animals	Animalia	Virginia
Percina gymnocephala	Percina gymnocephala	Appalachia darter	Fish	Animals	Animalia	Virginia
Enneacanthus obesus	Enneacanthus obesus	Banded sunfish	Fish	Animals	Animalia	Virginia
Cottus baileyi	Cottus baileyi	Black sculpin	Fish	Animals	Animalia	Virginia
Percina maculata	Percina maculata	Blackside darter	Fish	Animals	Animalia	Virginia
Erimystax insignis	Erimystax insignis	Blotched chub	Fish	Animals	Animalia	Virginia
