scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Ambystoma bishopi	Ambystoma bishopi	Reticulated Flatwoods Salamander	Amphibians	Animals	Animalia	Georgia
Ambystoma cingulatum	Ambystoma cingulatum	Frosted Flatwoods Salamander	Amphibians	Animals	Animalia	Georgia
Ambystoma tigrinum tigrinum	Ambystoma tigrinum tigrinum	Eastern Tiger Salamander	Amphibians	Animals	Animalia	Georgia
Amphiuma pholeter	Amphiuma pholeter	One-toed Amphiuma	Amphibians	Animals	Animalia	Georgia
Aneides aeneus	Aneides aeneus	Green Salamander	Amphibians	Animals	Animalia	Georgia
Cryptobranchus alleganiensis	Cryptobranchus alleganiensis	Hellbender	Amphibians	Animals	Animalia	Georgia
Desmognathus auriculatus	Desmognathus auriculatus	Southern Dusky Salamander	Amphibians	Animals	Animalia	Georgia
Eurycea aquatica	Eurycea aquatica	Brown-backed Salamander	Amphibians	Animals	Animalia	Georgia
Eurycea chamberlaini	Eurycea chamberlaini	Chamberlain's Dwarf Salamander	Amphibians	Animals	Animalia	Georgia
Gyrinophilus palleucus	Gyrinophilus palleucus	Tennessee Cave Salamander	Amphibians	Animals	Animalia	Georgia
Haideotriton wallacei	Haideotriton wallacei	Georgia Blind Salamander	Amphibians	Animals	Animalia	Georgia
Lithobates capito	Lithobates capito	Gopher Frog	Amphibians	Animals	Animalia	Georgia
Necturus punctatus	Necturus punctatus	Dwarf Waterdog	Amphibians	Animals	Animalia	Georgia
Notophthalmus perstriatus	Notophthalmus perstriatus	Striped Newt	Amphibians	Animals	Animalia	Georgia
Plethodon petraeus	Plethodon petraeus	Pigeon Mountain Salamander	Amphibians	Animals	Animalia	Georgia
Plethodon savannah	Plethodon savannah	Savannah Slimy Salamander	Amphibians	Animals	Animalia	Georgia
Urspelerpes brucei	Urspelerpes brucei	Patch-nosed Salamander	Amphibians	Animals	Animalia	Georgia
Amblyomma tuberculatum	Amblyomma tuberculatum	Gopher tortoise tick	Arachnids	Animals	Animalia	Georgia
Cyclocosmia torreya	Cyclocosmia torreya	Torreya trap-door spider	Arachnids	Animals	Animalia	Georgia
Habronattus sabulosus	Habronattus sabulosus	Jumping spider (Heggie's Rock)	Arachnids	Animals	Animalia	Georgia
Sphodros abbotii	Sphodros abbotii	Purse-web spider	Arachnids	Animals	Animalia	Georgia
Ammodramus caudacutus	Ammodramus caudacutus	Saltmarsh Sparrow	Birds	Animals	Animalia	Georgia
Ammodramus henslowii	Ammodramus henslowii	Henslow's Sparrow	Birds	Animals	Animalia	Georgia
Ammodramus maritimus macgillvraii	Ammodramus maritimus macgillvraii	Seaside Sparrow (Macgillivray's)	Birds	Animals	Animalia	Georgia
Ammodramus nelsoni	Ammodramus nelsoni	Nelson's Sparrow	Birds	Animals	Animalia	Georgia
Ammodramus savannarum pratensis	Ammodramus savannarum pratensis	Grasshopper Sparrow	Birds	Animals	Animalia	Georgia
Calidris canutus	Calidris canutus	Red Knot	Birds	Animals	Animalia	Georgia
Charadrius melodus	Charadrius melodus	Piping Plover	Birds	Animals	Animalia	Georgia
Charadrius wilsonia	Charadrius wilsonia	Wilson's Plover	Birds	Animals	Animalia	Georgia
Colinus virginianus	Colinus virginianus	Northern Bobwhite	Birds	Animals	Animalia	Georgia
Coturnicops noveboracensis	Coturnicops noveboracensis	Yellow Rail	Birds	Animals	Animalia	Georgia
Egretta caerulea	Egretta caerulea	Little Blue Heron	Birds	Animals	Animalia	Georgia
Egretta tricolor	Egretta tricolor	Tricolored Heron	Birds	Animals	Animalia	Georgia
Elanoides forficatus	Elanoides forficatus	Swallow-tailed Kite	Birds	Animals	Animalia	Georgia
Euphagus carolinus	Euphagus carolinus	Rusty Blackbird	Birds	Animals	Animalia	Georgia
Falco peregrinus	Falco peregrinus	Peregrine Falcon	Birds	Animals	Animalia	Georgia
Falco sparverius paulus	Falco sparverius paulus	Southeastern American Kestrel	Birds	Animals	Animalia	Georgia
Gelochelidon nilotica	Gelochelidon nilotica	Gull-billed Tern	Birds	Animals	Animalia	Georgia
Grus americana	Grus americana	Whooping Crane	Birds	Animals	Animalia	Georgia
Grus canadensis pratensis	Grus canadensis pratensis	Florida Sandhill Crane	Birds	Animals	Animalia	Georgia
Haematopus palliatus	Haematopus palliatus	American Oystercatcher	Birds	Animals	Animalia	Georgia
Haliaeetus leucocephalus	Haliaeetus leucocephalus	Bald Eagle	Birds	Animals	Animalia	Georgia
Himantopus mexicanus	Himantopus mexicanus	Black-necked Stilt	Birds	Animals	Animalia	Georgia
Ixobrychus exilis	Ixobrychus exilis	Least Bittern	Birds	Animals	Animalia	Georgia
Lanius ludovicianus	Lanius ludovicianus	Loggerhead Shrike	Birds	Animals	Animalia	Georgia
